Question,Answer
"What is the chemical symbol for water?",H2O
"What planet is known as the Red Planet?",Mars
"What is the hardest natural substance on Earth?",Diamond
"How many planets are in our solar system?",Eight
"What is the speed of light?","299,792 kilometers per second"
"What gas do plants absorb from the atmosphere?",Carbon dioxide
"What is the largest planet in our solar system?",Jupiter
"What is the powerhouse of the cell?",Mitochondria
"What force keeps us on the ground?",Gravity
"What is the boiling point of water in Celsius?",100 degrees Celsius
"What element does 'O' represent on the periodic table?",Oxygen
"What is the center of an atom called?",Nucleus
"What gas do humans exhale?",Carbon dioxide
"What is the study of living organisms called?",Biology
"What is the primary gas in the Earth's atmosphere?",Nitrogen
"What part of the plant conducts photosynthesis?",Leaves
"What planet is closest to the Sun?",Mercury
"What is the largest organ in the human body?",Skin
"What is the chemical formula for table salt?",NaCl
"What is the universal solvent?",Water
"What organ is primarily responsible for pumping blood?",Heart
"What is the study of matter and energy called?",Physics
"What is the most abundant element in the universe?",Hydrogen
"What part of the cell contains genetic material?",Nucleus
"What is the smallest unit of life?",Cell
"What is the powerhouse of the cell?",Mitochondria
"What type of bond forms between water molecules?",Hydrogen bond
"What is the main gas found in the Earth's atmosphere?",Nitrogen
"What is the force that pulls objects toward the center of the Earth?",Gravity
"What organelle is responsible for photosynthesis?",Chloroplast
"What is the chemical symbol for gold?",Au
"What planet is known for its rings?",Saturn
"What is the most common gas in the Earth's atmosphere?",Nitrogen
"What is the basic unit of a chemical element?",Atom
"What is the process by which plants make their food?",Photosynthesis
"What is the main source of energy for the Earth?",Sun
"What is the closest star to Earth?",Sun
"What is the chemical symbol for carbon?",C
"What is the basic unit of heredity?",Gene
"What gas do animals breathe in?",Oxygen
"What is the center of an atom called?",Nucleus
"What element is needed for the production of thyroid hormones?",Iodine
"What planet is known as the Earth's twin?",Venus
"What is the primary pigment in plants that absorbs sunlight?",Chlorophyll
"What gas is used in balloons to make them float?",Helium
"What is the basic building block of proteins?",Amino acids
"What organ filters blood in the human body?",Kidneys
"What is the process by which a liquid turns into a gas?",Evaporation
"What is the chemical symbol for sodium?",Na
